iter	Passed	Remaining
883	20943	2748
884	20970	2725
885	20999	2701
886	21026	2678
887	21052	2655
888	21079	2631
889	21108	2608
890	21137	2585
891	21172	2563
892	21203	2540
893	21225	2516
894	21251	2493
895	21278	2469
896	21307	2446
897	21329	2422
898	21358	2399
899	21381	2375
900	21409	2352
901	21431	2328
902	21454	2304
903	21476	2280
904	21512	2258
905	21544	2235
906	21588	2213
907	21614	2190
908	21637	2166
909	21675	2143
910	21697	2119
911	21719	2095
912	21739	2071
913	21761	2047
914	21784	2023
915	21805	1999
916	21828	1975
917	21853	1952
918	21876	1928
919	21897	1904
920	21919	1880
921	21942	1856
922	21965	1832
923	21987	1808
924	22009	1784
925	22032	1760
926	22060	1737
927	22084	1713
928	22115	1690
929	22140	1666
930	22164	1642
931	22187	1618
932	22216	1595
933	22241	1571
934	22271	1548
935	22303	1525
936	22325	1501
937	22346	1477
938	22368	1453
939	22389	1429
940	22411	1405
941	22433	1381
942	22455	1357
943	22478	1333
944	22501	1309
945	22523	1285
946	22546	1261
947	22572	1238
948	22595	1214
949	22617	1190
950	22639	1166
951	22661	1142
952	22683	1118
953	22705	1094
954	22727	1070
955	22749	1047
956	22771	1023
957	22793	999
958	22815	975
959	22839	951
960	22862	927
961	22883	903
962	22905	880
963	22926	856
964	22948	832
965	22970	808
966	22991	784
967	23014	760
968	23035	736
969	23057	713
970	23079	689
971	23110	665
972	23137	642
973	23167	618
974	23193	594
975	23223	571
976	23255	547
977	23305	524
978	23334	500
979	23356	476
980	23377	452
981	23399	428
982	23422	405
983	23456	381
984	23484	357
985	23508	333
986	23534	309
987	23565	286
988	23587	262
989	23616	238
990	23642	214
991	23666	190
992	23691	167
993	23713	143
994	23733	119
995	23755	95
996	23776	71
997	23798	47
998	23821	23
999	23845	0
